LEGAL_ENTITY_NAME,PREMISES_NAME,DHB,STREET_ADDRESS_OTHER,STREET_ADDRESS,STREET_ADDRESS_SUBURB_RD,STREET_ADDRESS_TOWN_CITY,STREET_ADDRESS_POST_CODE
Raglan Pharmacy 2005 Limited,Raglan Pharmacy,Waikato DHB,,8 Bow Street,,RAGLAN,3225
Rangatira Pharmacy Limited,Unichem Rangatira Pharmacy,Waitemata DHB,,338-342 Rangatira Road,Beach Haven,Auckland,0626
Rangiora Encounter Limited,Stan's 7 Day Pharmacy Rangiora,Canterbury DHB,,"Shop 4, 15 Ashley Street",,Rangiora,7400
Rangiora Pharmacy (1998) Limited,Rangiora Pharmacy,Canterbury DHB,,17 Durham Street,,Rangiora,7400
Raniga Company Limited,Midwest Pharmacy,Auckland DHB,,2144 - 2146 Great North Road,Avondale,AUCKLAND,0600
Ranui Pharmacy Limited,Ranui Pharmacy,Waitemata DHB,,421 Swanson Road,Ranui,AUCKLAND,0612
Ratanui Community Pharmacy Limited,Unichem Ratanui Pharmacy,Waitemata DHB,,77 Lincoln Road,Henderson,AUCKLAND,0610
Rathgar Road Pharmacy Limited,Rathgar Road Pharmacy Limited,Waitemata DHB,Shop 4,128 Rathgar Road,Henderson,Auckland,0610
Raumati Road Pharmacy Limited,Raumati Road Pharmacy,Capital and Coast DHB,Ground Floor,18 Raumati Road,Raumati Beach,PARAPARAUMU,5032
Rawene Pharmacy Limited,Rawene Pharmacy Limited,Northland DHB,,15 Parnell Street,Rawene,Kaikohe,0473
Ray Fashion Limited,Ray Pharmacy Meadowbank,Auckland DHB,,10A / 35 St Johns Road,St Johns,AUCKLAND,1072
Red Beach Pharmacy (1995) Limited,Unichem Red Beach Pharmacy,Waitemata DHB,"Shop 8, Red Beach Shopping Centre",Red Beach Road,Red Beach,Whangaparaoa,0932
Redcliffs Pharmacy Limited,Redcliffs Pharmacy Limited,Canterbury DHB,,87 Main Road,Redcliffs,Christchurch,8081
Redicare Pharmacy 2011 Limited,Redicare Pharmacy,Waikato DHB,,130 Rostrevor Street,Hamilton Central,Hamilton,3204
Redwood Pharmacy 2002 Limited,Redwood Pharmacy,Canterbury DHB,,282 Main North Road,Redwood,CHRISTCHURCH,8051
Remarkables Park Pharmacy Limited,Remarkables Park Pharmacy,Southern DHB,Remarkables Park Shopping Centre,53/12 Hawthorne Drive,Frankton,Queenstown,9300
Remuera Pharmacy Limited,Remuera Pharmacy Limited,Auckland DHB,,377 Remuera Road,Remuera,AUCKLAND,1050
Riccarton Encounter Limited,Remedy Pharmacy - Riccarton,Canterbury DHB,,107 Wainui Street,Riccarton,Christchurch,8041
Riccarton Mall Pharmacy 2000 Limited,Life Pharmacy Riccarton,Canterbury DHB,Westfield Riccarton,129 Riccarton Road,Riccarton,CHRISTCHURCH,8041
Richardson Road Medical Centre Pharmacy Limited,Unichem Richardson Road Pharmacy,Auckland DHB,,443 Richardson Road,Mt Roskill,AUCKLAND,1041
Richardson's Pharmacy (2006) Limited,Care Pharmacy Hastings,Hawkes Bay DHB,,301 Heretaunga Street West,Hastings Central,HASTINGS,4122
Richmond Mall Pharmacy (2001) Limited,Unichem Richmond Mall Pharmacy,Nelson Marlborough DHB,"Shop 1, Richmond Mall",216 Queen Street,,RICHMOND,7020
Richmond Road Pharmacy Limited,Richmond Road Pharmacy,Auckland DHB,,446 Richmond Road,Grey Lynn,AUCKLAND,1021
Roberts Ngaruawahia Pharmacy Limited,Ngaruawahia Pharmacy,Waikato DHB,,23 Jesmond Street,,NGARUAWAHIA,3720
Roberts Ngaruawahia Pharmacy Limited,Roberts Ngaruawahia Pharmacy,Waikato DHB,,11 Galileo Street,,NGARUAWAHIA,3720
Robertsons Pharmacy Limited,Robertsons High Street Pharmacy,Taranaki DHB,,94 High Street,,HAWERA,4610
Robertsons Pharmacy Limited,Robertsons Hunter Street Pharmacy,Taranaki DHB,,41 Hunter Street,,HAWERA,4610
Robertsons Pharmacy Limited,Robertsons Strandon Pharmacy,Taranaki DHB,,488 Devon Street East,Strandon,New Plymouth,4312
Robertsons Pharmacy Limited,Robertsons The Valley Pharmacy,Taranaki DHB,The Valley Mega Centre,1 Struthers Place,Waiwhakaiho,NEW PLYMOUTH,4312
Robinsons Of Riccarton Pharmacy Limited,Robinsons Pharmacy,Canterbury DHB,Shop 1B,32 Oxford Terrace,Christchurch Central,Christchurch,8011
Rolleston Central Limited,Unichem Rolleston Central Pharmacy,Canterbury DHB,"Shop 3, Rolleston Square East",9 Masefield Drive,,Rolleston,7614
Rolleston Pharmacy Limited,Unichem Rolleston Village Pharmacy,Canterbury DHB,,92 Rolleston Drive,,ROLLESTON,7614
Ropata Pharmacy Limited,Ropata Pharmacy Limited,Hutt Valley DHB,,577 High Street,Boulcott,LOWER HUTT,5010
Rosedale Pharmacy 2015 Limited,Unichem Family Pharmacy Albany,Waitemata DHB,,368 Albany Highway,Albany,AUCKLAND,0632
Rosedale Pharmacy 2015 Limited,Unichem Rosedale Pharmacy,Waitemata DHB,Unit B2 & B3,372 Rosedale Road,Rosedale,AUCKLAND,0632
Roseland Pharmacy Limited,Graeme Avenue Pharmacy,Counties Manukau DHB,Shop 4,2 Graeme Avenue,Mangere East,AUCKLAND,2024
Roses Pharmacy Limited,Unichem Roses Pharmacy,MidCentral DHB,,281-283 Broadway Avenue,Terrace End,PALMERSTON NORTH,4441
Roskill Healthcare Pharmacy Limited,Roskill Healthcare Pharmacy,Auckland DHB,,1011 Dominion Road,Mount Roskill,AUCKLAND,1041
Roskill Village Pharmacy Limited,Unichem Roskill Village Pharmacy,Auckland DHB,,1490 Dominion  Road Extension,Mount Roskill,AUCKLAND,1041
Roslyn Village Pharmacy Limited,Unichem Roslyn Pharmacy,Southern DHB,,287A & 287B Highgate,Roslyn,DUNEDIN,9010
Rossmont Pharmacy 2012 Limited,Vogel Street Pharmacy,MidCentral DHB,Shops 6 & 7,47 Vogel Street,Roslyn,PALMERSTON NORTH,4414
Royal Heights Pharmacy (2015) Limited,Royal Heights Pharmacy,Waitemata DHB,Shops 7 & 8,138 Royal Road,Massey,AUCKLAND,0614
Royal Oak Pharmacy 2018 Limited,Unichem Royal Oak Pharmacy,Auckland DHB,"Shop 13, Royal Oak Mall",691 Manukau Road,Royal Oak,Auckland,1023
Ruapehu Pharmacy Limited,Unichem Ruapehu Pharmacy,Whanganui DHB,,21 Goldfinch Street,,Ohakune,4625
Russell Street Pharmacy Hastings (2015) Limited,Unichem Russell Street Pharmacy,Hawkes Bay DHB,Ground Floor,110 Russell Street South,Hastings,HAWKES BAY,4122
Russell Village Pharmacy Limited,Russell Pharmacy,Northland DHB,,21 York Street,,Russell,0202
Rust Avenue Dispensary (1999) Limited,Rust Avenue Dispensary,Northland DHB,,22 Rust Avenue,Central,WHANGAREI,0110
Rx Redwoodtown Limited,Unichem Redwoodtown Pharmacy,Nelson Marlborough DHB,,70 Cleghorn Street,Redwoodtown,Blenheim,7201
S & A Chang Limited,Victoria Street West Pharmacy,Auckland DHB,,77A Victoria Street West,Auckland Central,AUCKLAND,1010
SDM Limited,Victory Square Pharmacy,Nelson Marlborough DHB,,172 St Vincent Street,Victory Square,Nelson,7010
SE10 Healthcare Limited,Moturoa Pharmacy,Taranaki DHB,,492 St Aubyn Street,Moturoa,NEW PLYMOUTH,4310
SKP18 Limited,Unichem Medical Corner Pharmacy,Canterbury DHB,,237A High Street,,Rangiora,7400
SOJ Pharmacy Limited,Fitzroy Pharmacy,Taranaki DHB,,552 Devon Street East,Fitzroy,NEW PLYMOUTH,4312
Sai Pharmacy Limited,Family Health Pharmacy,Counties Manukau DHB,,32B George Street,,TUAKAU,2121
Samnem Limited,Ranolf Pharmacy,Lakes DHB,,59 Ranolf Street,Victoria,Rotorua,3010
Sandringham Community Pharmacy Limited,Unichem Sandringham Pharmacy,Auckland DHB,,2 Kitchener Road,Sandringham,AUCKLAND,1025
Sanford Pharmacy Limited,Life Pharmacy Kapiti Coast,Capital and Coast DHB,,2/11 Amohia Street,Kapiti Lights Complex,PARAPARAUMU,5032
Sanvan Limited,Pharmacy 81 on Heu Heu,Lakes DHB,,81 Heu Heu Street,,Taupo,3330
Savine Holdings Limited,Bay Pharmacy Motueka,Nelson Marlborough DHB,,125 High Street,,Motueka,7120
Sean Shivnan Pharmacy Limited,Sean Shivnan Pharmacy Limited,Tairawhiti DHB,,578 Gladstone Road,Te Hapara,GISBORNE,4010
Searles Allenton Pharmacy [Ash] Limited,Searles Allenton Pharmacy,Canterbury DHB,,67 Harrison Street,Allenton,Ashburton,7700
Searles Allenton Pharmacy [Ash] Limited,Three Rivers Pharmacy,Canterbury DHB,,7-11 Allens Road,Allenton,Ashburton,7700
Seddon Street Pharmacy 2013 Limited,Seddon Pharmacy,Counties Manukau DHB,,"Unit 1, 13A Hall Street",,Pukekohe,2120
Selwyn Community Pharmacy Limited,Selwyn Community Pharmacy,Canterbury DHB,,5B Gerald Street,,LINCOLN,7608
Selwyn Pharmacy Limited,Selwyn Village Pharmacy,Canterbury DHB,,316 Selwyn Street,Spreydon,Christchurch,8024
Seven Day Pharmacy Limited,Seven Day Pharmacy Limited,Auckland DHB,,202 Ponsonby Road,Ponsonby,AUCKLAND,1011
Shields Pharmacy Limited,Shields Pharmacy Limited,Canterbury DHB,,95 Main North Road,Papanui,CHRISTCHURCH,8052
Shirley Dispensary Limited,Shirley Dispensary Limited,Canterbury DHB,,13 Marshland Road,Shirley,CHRISTCHURCH,8061
Shop 29 Limited,Life Pharmacy Barrington,Canterbury DHB,"Shop 54, Barrington Shopping Centre",256 Barrington Street,Spreydon,Christchurch,8024
Shore City Pharmacy (2010) Limited,Life Pharmacy Takapuna,Waitemata DHB,Westfield Shore City,52-56 Anzac Street,Takapuna,Auckland,0622
Shortland Street Pharmacy Limited,Shortland Street Pharmacy,Auckland DHB,,51 Shortland Street,Auckland Central,Auckland,1010
Silk Pharmacy Holdings Limited,Life Pharmacy St Heliers,Auckland DHB,,23 St Heliers Bay Road,St Heliers,Auckland,1071
Silk Pharmacy Holdings Limited,Unichem St Heliers Medical Pharmacy,Auckland DHB,,10C Turua Street,St Heliers,Auckland,1071
Silverdale Clinic Pharmacy Limited,Silverdale Clinic Pharmacy,Waitemata DHB,,2/7 Polarity Rise,Silverdale,Auckland,0932
Silverdale Community Pharmacy Limited,Unichem Silverdale Pharmacy,Waitemata DHB,,25/61 Silverdale Street,Silverdale,Auckland,0932
Silverstream Pharmacy Limited,Silverstream Pharmacy Limited,Hutt Valley DHB,"Shop 11, Silverstream Village",Whitemans Road,Silverstream,UPPER HUTT,5019
Simon's Pharmacy Limited,Unichem Drummonds Pharmacy,Capital and Coast DHB,,204a Main Road,Tawa,WELLINGTON,5028
Simon's Pharmacy Limited,Unichem Simon's Pharmacy,Capital and Coast DHB,,189 Main Road,Tawa,WELLINGTON,5028
Sinel-Francis Pharmacy Limited,"Unichem the Mall Pharmacy, Rotorua",Lakes DHB,"Shop 27, Rotorua Central Mall",1170 Amohau Street,,ROTORUA,3045
Smart Health Enterprises Limited,Smartcare Pharmacy Panmure,Auckland DHB,,137 Queens Road,Panmure,Auckland,1072
Snyders Pharmacy Limited,Bader Street Pharmacy,Waikato DHB,,5A Bader Street,Bader,HAMILTON,3206
Soulmates Limited,Hawkins Pharmacy,Whanganui DHB,,71 Moana Street,Whanganui East,Whanganui,4500
South Canterbury District Health Board,Timaru Hospital Pharmacy,South Canterbury DHB,"Level 2, Clinical Services Building, Timaru Hospital",14 Queen Street,Parkside,TIMARU,7910
South Canterbury Pharmacy Limited,Sydenham Central Pharmacy,Canterbury DHB,Shop 1,359 Colombo Street,Sydenham,CHRISTCHURCH,8023
South City Health Pharmacy 2012 Limited,South City Health Pharmacy 2012 Limited,Waikato DHB,,91 Kahikatea Drive,Melville,HAMILTON,3206
South City Pharmacy 2013 Limited,South City Pharmacy,Canterbury DHB,Shop 16,555 Colombo Street,Christchurch Central,CHRISTCHURCH,8011
South City Pharmacy Invercargill Limited,Riverton Pharmacy,Southern DHB,,168 Palmerston Street,,Riverton,9822
South City Pharmacy Invercargill Limited,Southcity Pharmacy,Southern DHB,,249 Elles Road,Strathern,INVERCARGILL,9812
South Seas Community Pharmacy Limited,South Seas Pharmacy,Counties Manukau DHB,Unit 1,126a Bairds Road,Otara,Auckland,2023
South Seas Community Pharmacy Limited,Unichem South Seas Pharmacy,Counties Manukau DHB,,9/14 Fairmall Place,Otara Town Centre,AUCKLAND,2023
Southend Pharmacy Limited,Unichem Southend Pharmacy,Wairarapa DHB,,266 Queen Street,,Masterton,5810
Southern District Health Board,"Pharmacy Department, Dunedin Hospital",Southern DHB,,201 Great King Street,Dunedin Central,Dunedin,9016
Southern District Health Board,Southland Hospital Pharmacy,Southern DHB,"Pharmacy Department, Southland Hospital","1st Floor, 145 Kew Road",Kew,INVERCARGILL,9812
Spotted Fat Cat Limited,Snells Beach Pharmacy,Waitemata DHB,Shop 3,332 Mahurangi East Road,,Snells Beach,0920
St Albans Pharmacy (1999) Limited,St Albans Pharmacy,Canterbury DHB,,1073 Colombo Street,Edgeware,CHRISTCHURCH,8014
St John's Pharmacy (2004) Limited,St Johns Pharmacy,Whanganui DHB,,13B Great North Road,Saint Johns Hill,Whanganui,4501
St Lukes Medical Pharmacy Limited,St Lukes Medical Pharmacy,Auckland DHB,,52 St Lukes Road,Mount Albert,Auckland,1025
St Lukes Pharmacy Holdings Limited,Life Pharmacy St Lukes,Auckland DHB,Westfield St Lukes,80 St Lukes Road,Mount Albert,AUCKLAND,1025
St Lukes Pharmacy Holdings Limited,Unichem St Lukes Pharmacy,Auckland DHB,"Shop 213,Westfield St Lukes",80 St Lukes Road,Mount Albert,AUCKLAND,1025
St Martins Pharmacy Limited,St. Martins Pharmacy,Canterbury DHB,Shop 2,92 Wilsons Road South,St Martins,CHRISTCHURCH,8022
St Martins Pharmacy Limited,Waltham Pharmacy,Canterbury DHB,,87 Waltham Road,Sydenham,Christchurch,8023
Stafford Street Pharmacy 2018 Limited,Unichem Stafford Street Pharmacy,South Canterbury DHB,,278 Stafford Street,,Timaru,7910
Stanmore Bay Pharmacy Limited,Unichem Stanmore Bay Pharmacy,Waitemata DHB,Shop B2,570 Whangaparaoa Road,Stanmore Bay,Whangaparaoa,0932
Stantons Pharmacy Limited,Unichem Stantons Pharmacy,Canterbury DHB,Shop 6,346 Halswell Road,Halswell,Christchurch,8025
Stay Well Pharmacy Limited,Stay Well Pharmacy,Canterbury DHB,Unit 3,21-35 Shands Road,Hornby,CHRISTCHURCH,8042
Stephensons Pharmacy Limited,Stephensons Unichem Pharmacy,Waikato DHB,,64 Albert Street,,WHITIANGA,3510
Stevens Pharmacy 2003 Limited,Liddells Pharmacy,Counties Manukau DHB,,48 King Street,,Pukekohe,2120
Stewart's Pharmacy (2014) Limited,Stewart's Pharmacy,Southern DHB,,162 Dee Street,,Invercargill,9810
Stoddard Rd Community Pharmacy Ltd,Unichem Stoddard Rd Pharmacy,Auckland DHB,Shop Number 301A Roskill Retail Centre,22 Stoddard Road,Mt Roskill,AUCKLAND,1041
Stokes Valley Pharmacy (2009) Limited,Unichem Stokes Valley Pharmacy,Hutt Valley DHB,,190 Stokes Valley Road,Stokes Valley,Lower Hutt,5019
Stonefields Pharmacy Limited,Stonefields Pharmacy,Auckland DHB,"Shop 8, Stonefields Markets",40 Stonefields Avenue,Stonefields,Auckland,1072
Strathmore Park Pharmacy 2001 Limited,Strathmore Park Pharmacy,Capital and Coast DHB,Unit B,504 Broadway,Strathmore Park,WELLINGTON,6022
Summerfield's Frankton Pharmacy Limited,Unichem Summerfield's Pharmacy,Southern DHB,"Unit 1,2 & 3",1091 Frankton Road,,QUEENSTOWN,9300
SuperClinic Pharmacy Limited,SuperClinic Pharmacy Limited,Counties Manukau DHB,,260 Botany Road,Golflands,AUCKLAND,2013
Surrey Pharmacy Limited,Unichem Surrey Pharmacy,Auckland DHB,"Unit 2, Ground Floor",26 Surrey Crescent,Grey Lynn,AUCKLAND,1021
Swanson Pharmacy (2018) Limited,Swanson Pharmacy,Waitemata DHB,,708D Swanson Road,Swanson,Auckland,0612
Sylvan Bank Pharmacy (2010) Limited,Sylvan Bank Pharmacy,Southern DHB,,231 Yarrow Street,Richmond,INVERCARGILL,9810
T R Fenwick Limited,Unichem Fenwicks Pharmacy,Canterbury DHB,Ground Floor,129 Williams Street,,KAIAPOI,7630
T. & V.E. Hollings Limited,Otaika Pharmacy,Northland DHB,Otaika Shopping Centre,150 Otaika Road,Raumanga,WHANGAREI,0110
T.A. Pharma Limited,Unichem Marshalls Medical Pharmacy,Waikato DHB,,220 Bank Street,,TE AWAMUTU,3800
T.A. Pharma Limited,Unichem Marshalls Pharmacy,Waikato DHB,,156 Teasdale Street,,Te Awamutu,3800
TCS Pharmacy Group Limited,Pharmacy Xtra,Canterbury DHB,,3/347 Moorhouse Avenue,Sydenham,CHRISTCHURCH,8011
TJ Pharmacy Limited,Opunake Coastal Pharmacy,Taranaki DHB,,55 Tasman Street,,Opunake,4616
TM Albany Limited,Library Lane Pharmacy,Waitemata DHB,Unit 1C,40 Library Lane,Albany,Auckland,0632
TM Ravenswood Limited,We Care Pharmacy,Canterbury DHB,,Unit 5/3 Vernon Drive,,Lincoln,7608
Tahi Pharmaceuticals Limited,Tihi Pharmacy,Counties Manukau DHB,,7 Hill Road,Manurewa,AUCKLAND,2102
Taieri Pharmacy (2015) Limited,Unichem Taieri Pharmacy,Southern DHB,,2 Factory Road,,MOSGIEL,9024
Tairawhiti District Health Board,Gisborne Hospital Pharmacy,Tairawhiti DHB,,421 Ormond Road,Lytton West,GISBORNE,4010
Tairua Pharmacy (1986) Limited,Tairua Pharmacy (1986) Limited,Waikato DHB,Shop 1,226 Main Road,,TAIRUA,3508
Taita Pharmacy 2016 Limited,Taita Pharmacy 2016 Limited,Hutt Valley DHB,,1206 High Street,Taita,LOWER HUTT,5011
Takanini Clinic Pharmacy Limited,Unichem Takanini Village Pharmacy,Counties Manukau DHB,2b/Building 2,30 Walters Road,,TAKANINI,2112
Takanini Community Pharmacy Limited,Unichem Takanini Pharmacy,Counties Manukau DHB,,3-226 Great South Road,Takanini,Auckland,2112
Takanini Pharmacy Limited,Takanini Pharmacy Limited,Counties Manukau DHB,,106 Great South Road,Takanini,Auckland,2112
Taranaki District Health Board,Taranaki Base Hospital Pharmacy,Taranaki DHB,,David Street,Westown,NEW PLYMOUTH,4310
Taranaki Pharmacy Services Limited,Lander & Black Pharmacy,Taranaki DHB,,1 Devon Street East,,NEW PLYMOUTH,4310
Taranaki Pharmacy Services Limited,Smart Chemist Bell Block,Taranaki DHB,,5 Bell Block Court,Bell Block,New Plymouth,4312
Taranaki Pharmacy Services Limited,Tui Ora Family Health Pharmacy,Taranaki DHB,,36 Maratahu Street,Westown,New Plymouth,4310
Taranaki Pharmacy Services Limited,Unichem Ducks Pharmacy,Taranaki DHB,,4 Matai Street,,Inglewood,4330
Tararua Pharmacy Limited,Horowhenua Health Centre Pharmacy,MidCentral DHB,,62 Liverpool Street,,LEVIN,5510
Tararua Pharmacy Limited,Tararua Pharmacy,MidCentral DHB,,540 Queen Street East,,LEVIN,5510
Tarawera Pharmacy Limited,Owhata Medical Centre Pharmacy,Lakes DHB,Unit 1B,556 Te Ngae Road,Owhata,Rotorua,3010
Tarawera Pharmacy Limited,Tarawera Pharmacy Limited,Bay of Plenty DHB,,106 Onslow Street,,KAWERAU,3127
Tasman Pharmacies Limited,Greenwood St Pharmacy,Nelson Marlborough DHB,,6 Greenwood Street,,MOTUEKA,7120
Tasman Pharmacies Limited,Unichem 162 High St Pharmacy,Nelson Marlborough DHB,,162 High Street,,MOTUEKA,7120
Tatri Family Pharmacy Limited,Symonds Street Medical Centre Pharmacy,Auckland DHB,,57 Symonds Street,Grafton,Auckland,1010
Tatri Pharmacy Limited,Dodson Medical Pharmacy,Waitemata DHB,,4 Dodson Avenue,Milford,Auckland,0620
Tatri Pharmacy Limited,Milford Nutritional Pharmacy,Waitemata DHB,Shop 2,119 Kitchener Road,Milford,AUCKLAND,0620
Taumarunui Pharmacy Limited,Unichem Taumarunui Pharmacy,Waikato DHB,,93 Hakiaha Street,,Taumarunui,3920
Tauranga Pharmacy (2012) Limited,Life Pharmacy Tauranga,Bay of Plenty DHB,,53 Devonport Road,Tauranga Central,TAURANGA,3110
Te Awa The Base Pharmacy Limited,Life Pharmacy The Base,Waikato DHB,"Shop R29, Te Awa, The Base",cnr Te Rapa Road & Avalon Drive,Te Rapa,HAMILTON,3200
Te Awamutu Pharmacy Limited,Te Awamutu Pharmacy Limited,Waikato DHB,,168 Alexandra Street,,TE AWAMUTU,3800
Te Hiku Pharmacy Limited,Te Hiku Pharmacy,Northland DHB,,49 Redan Road,,Kaitaia,0410
Te Kauwhata Pharmacy 2017 Limited,Te Kauwhata Pharmacy 2017 Limited,Waikato DHB,,14 Main Road,,Te Kauwhata,3710
Te Kohao Health Nga Hua Pharmacy Limited,Nga Hua Pharmacy,Waikato DHB,,951 Wairere Drive,Hamilton East,HAMILTON,3216
Te Ngae Pharmacy (2010) Limited,Te Ngae Pharmacy,Lakes DHB,,"Unit 4A, 5 Tarawera Road",Lynmore,ROTORUA,3010
Te Puke Pharmacies Limited,Life Pharmacy Te Puke,Bay of Plenty DHB,,61 Jellicoe Street,,Te Puke,3119
Te Puke Pharmacies Limited,Unichem Te Puke Pharmacy,Bay of Plenty DHB,,14 Queen Street,,Te Puke,3119
Templeton Pharmacy (2015) Limited,Templeton Pharmacy,Canterbury DHB,,5 Kirk Road,Templeton,Christchurch,8042
Temuka Pharmacy 2012 Limited,Temuka Pharmacy 2012 Limited,South Canterbury DHB,,81 King Street,,TEMUKA,7920
Thames Pharmacy Limited,Unichem Heather Moore Pharmacy,Waikato DHB,,546 Pollen Street,,Thames,3500
The Ascot Hospital and Clinics Limited,MercyAscot Hospital Pharmacy,Auckland DHB,Mercy Hospital,98 Mountain Road,Epsom,AUCKLAND,1023
The Associated Chemists Limited,Urgent Pharmacy Dunedin,Southern DHB,,18 Filleul Street,Dunedin Central,Dunedin,9016
The Dispensaries Limited,Unichem Cashel Pharmacy,Canterbury DHB,,Shop 3/111 Cashel Street,Christchurch Central,Christchurch,8011
The Dispensaries Limited,Unichem Forte Pharmacy,Canterbury DHB,Shop 4,151 Kilmore Street,Central City,Christchurch,8011
The Dispensary (Chch) Limited,The Dispensary (Chch) Limited,Canterbury DHB,,914 Colombo Street,Christchurch Central,Christchurch,8013
The People Centre Pharmacy Limited,The People Centre Pharmacy,Counties Manukau DHB,,7 Halver Road,Manurewa,AUCKLAND,2102
The Pharmacy at The Hastings Health Centre Limited,The Pharmacy @ The Hastings Health Centre,Hawkes Bay DHB,The Hastings Health Centre,303 St Aubyn Street West,,Hastings,4122
The Takapuna Clinic Pharmacy Limited,Pharmacy on Hurstmere,Waitemata DHB,,2/99 Hurstmere Road,Takapuna,Auckland,0622
The Terrace Pharmacy Limited,City Pharmacies The Terrace,Capital and Coast DHB,Shop 9,70 The Terrace,Wellington Central,Wellington,6011
Thomas and William CK CO Limited,Unichem Belfast Pharmacy,Canterbury DHB,,"Unit 8, 812 Main North Road",Belfast,Christchurch,8051
Thorndon Pharmacy Limited,Thorndon Pharmacy Limited,Capital and Coast DHB,,111 Molesworth Street,Thorndon,Wellington,6011
Three Lamps Pharmacy Limited,Unichem Ponsonby Pharmacy,Auckland DHB,,1/283 Ponsonby Road,Ponsonby,AUCKLAND,1011
Titahi Bay Pharmacy Limited,Titahi Bay Pharmacy,Capital and Coast DHB,,24 Whitehouse Road,Titahi Bay,PORIRUA,5022
Titirangi Village Pharmacy Limited,Titirangi Village Pharmacy Limited,Waitemata DHB,,408 Titirangi Road,Titirangi,Auckland,0604
Tititea Pharmacy Limited,Aspiring Pharmacy,Southern DHB,,29 Helwick Street,,Wanaka,9305
Tokoroa Pharmacy Services Limited,Unichem Health Centre Pharmacy,Waikato DHB,Tokoroa Hospital,Gate 3 Maraetai Road,,TOKOROA,3420
Tokoroa Pharmacy Services Limited,Unichem Tokoroa Pharmacy,Waikato DHB,,221 Leith Place,,TOKOROA,3420
Total Health Pharmacy (2007) Limited,Total Health Pharmacy,Waikato DHB,,608 Pollen Street,,THAMES,3500
Tower Junction Pharmacy Limited,Unichem Tower Junction Pharmacy,Canterbury DHB,"Unit 7, Tower Junction Shopping Centre",Whiteleigh Avenue,Addington,CHRISTCHURCH,8024
Trident Pharmacy (2017) Limited,Life Pharmacy Prices,Nelson Marlborough DHB,,296 Hardy Street,,Nelson,7010
Trident Pharmacy (2017) Limited,Unichem Nelson Pharmacy,Nelson Marlborough DHB,Unit 1,105 Collingwood Street,,Nelson,7010
Tuam Investments Limited,Morrinsville Medical Centre Pharmacy,Waikato DHB,,17 - 19 Canada Street,,Morrinsville,3300
Tuam Investments Limited,Unichem Morrinsville Pharmacy,Waikato DHB,,72 Studholme Street,,Morrinsville,3300
Tui Pharmacy Limited,Tui Pharmacy Limited,Waikato DHB,,6 Gordonton Road,Chartwell,Hamilton,3210
Turangi Pharmacy 2012 Limited,Unichem Turangi Pharmacy,Lakes DHB,,19 Ohuanga Road,,TURANGI,3334
Turtle's Pharmacy Limited,Unichem Grays Pharmacy,Southern DHB,,62 Clyde Street,,BALCLUTHA,9230
Turuki Pharmacy Limited,Turuki Pharmacy,Counties Manukau DHB,,2/32 Canning Crescent,Mangere,Auckland,2022
Turuki Pharmacy Panmure Limited,Turuki Pharmacy Panmure,Auckland DHB,,62 Queens Road,Panmure,Auckland,1072
Ultra Health Limited,Newton Pharmacy,Auckland DHB,Shop 2,283 Karangahape Road,Auckland Central,AUCKLAND,1010
Unichem Manukau Pharmacy Limited,Unichem Manukau Pharmacy,Counties Manukau DHB,,652 Great South Road,Manukau,Auckland,2104
Unichem Marewa Pharmacy Limited,Marewa Pharmacy,Hawkes Bay DHB,,104 Kennedy Road,Marewa,Napier,4110
Unichem Marewa Pharmacy Limited,Unichem Marewa Pharmacy Limited,Hawkes Bay DHB,,126-128 Kennedy Road,Marewa,NAPIER,4110
Unichem Napier City Limited,Life Pharmacy Napier City,Hawkes Bay DHB,,131 Emerson Street,,NAPIER,4110
Unichem Spitfire Square Pharmacy Limited,Unichem Spitfire Square Pharmacy,Canterbury DHB,"Shop 14, Spitfire Square",544 Memorial Avenue,Christchurch Airport,CHRISTCHURCH,8053
Unihealth Pharmacy Takapuna Limited,Unihealth Pharmacy,Waitemata DHB,Countdown Complex,10 Barrys Point Road,Takapuna,AUCKLAND,0622
Union Street Pharmacy Limited,Union Street Pharmacy,Canterbury DHB,,18 Union Street,New Brighton,CHRISTCHURCH,8061
Upper Hutt Health Centre Pharmacy Limited,Unichem Upper Hutt Health Pharmacy,Hutt Valley DHB,,6 Sinclair Street,Ebdentown,UPPER HUTT,5018
Urgent Pharmacy Rotorua Limited,Lakes Care Pharmacy,Lakes DHB,,1155 Tutanekai Street,,ROTORUA,3010
Vaiola Pharmacy Limited,Vaiola Pharmacy,Auckland DHB,,1 Fleming Street,Onehunga,Auckland,1061
Vautier Pharmacy Limited,Vautier Pharmacy - Pioneer Village,MidCentral DHB,,746 Pioneer Highway,Takaro,Palmerston North,4412
Vautier Pharmacy Limited,Vautier Pharmacy - Summerhill Village,MidCentral DHB,,198 Ruapehu Drive,Fitzherbert,Palmerston North,4440
Vautier Pharmacy Limited,Vautier Pharmacy Downtown,MidCentral DHB,"Shop 22, Downtown Mall",495 Main Street,,Palmerston North,4410
Veda New Zealand Limited,Healthcare Pharmacy Clendon,Counties Manukau DHB,,9 - 11 Robert Ross Place,Clendon Park,AUCKLAND,2103
Village Pharmacy Limited,Crawford House Pharmacy,Counties Manukau DHB,Ground Floor,4 Picton Street,Howick,Auckland,2014
